,Case Number,Date,Year,Type,Country,Area,Location,Activity,Name,Sex ,Age,Injury,Fatal,Time,Species ,Investigator or Source,pdf,href formula,href,Case Number.1,Case Number.2,original order,Unnamed: 22,Unnamed: 23
0,2018.06.25,25-Jun-2018,2018,Boat,usa,California,"Oceanside, San Diego County",paddling,Julie Wolfe,F,57.0,"no injury to occupant, outrigger canoe and paddle damaged",False,Unknown,White shark,"R. Collier, GSAF",2018.06.25-Wolfe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.25-Wolfe.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.25-Wolfe.pdf,2018.06.25,2018.06.25,6303.0,unknown,unknown
1,2018.06.18,18-Jun-2018,2018,Unprovoked,usa,Georgia,"St. Simon Island, Glynn County",standing,Adyson McNeely ,F,11.0,minor injury to left thigh,False,Unknown,Unknown,"K.McMurray, TrackingSharks.com",2018.06.18-McNeely.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.18-McNeely.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.18-McNeely.pdf,2018.06.18,2018.06.18,6302.0,unknown,unknown
2,2018.06.09,09-Jun-2018,2018,Invalid,usa,Hawaii,"Habush, Oahu",surfing,John Denges,M,48.0,injury to left lower leg from surfboard skeg,False,Unknown,Unknown,"K.McMurray, TrackingSharks.com",2018.06.09-Denges.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.09-Denges.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.09-Denges.pdf,2018.06.09,2018.06.09,6301.0,unknown,unknown
3,2018.06.08,08-Jun-2018,2018,Unprovoked,australia,New South Wales,Arrawarra Headland,surfing,male,M,25.0,minor injury to lower leg,False,Unknown,Unknown,"B. Myatt, GSAF",2018.06.08-Arrawarra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.08-Arrawarra.pdf,2018.06.08,2018.06.08,6300.0,unknown,unknown
4,2018.06.04,04-Jun-2018,2018,Provoked,mexico,Colima,La Ticla,free diving,Gustavo Ramos ,M,25.0,lacerations to leg & hand shark provoked incident,False,Unknown,Unknown,A .Kipper,2018.06.04-Ramos.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.04-Ramos.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.04-Ramos.pdf,2018.06.04,2018.06.04,6299.0,unknown,unknown
5,2018.06.03.b,03-Jun-2018,2018,Unprovoked,australia,New South Wales,"Flat Rock, Ballina",kite surfing,Chris ,M,25.0,"no injury, board bitten",False,Unknown,Unknown,"Daily Telegraph, 6/4/2018",2018.06.03.b-FlatRock.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.b-FlatRock.pdf,2018.06.03.b,2018.06.03.b,6298.0,unknown,unknown
6,2018.06.03.a,03-Jun-2018,2018,Unprovoked,brazil,Pernambuco,"Piedade Beach, Recife",swimming,Jose Ernesto da Silva ,M,18.0,fatal,True,Unknown,Tiger shark,"Diario de Pernambuco, 6/4/2018",2018.06.03.a-daSilva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.a-daSilva.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.06.03.a-daSilva.pdf,2018.06.03.a,2018.06.03.a,6297.0,unknown,unknown
7,2018.05.27,27-May-2018,2018,Unprovoked,usa,Florida,"Lighhouse Point Park, Ponce Inlet, Volusia County",fishing,male,M,52.0,minor injury to foot. provoked incident,False,Unknown,Unknown,"K. McMurray, TrackingSharks.com",2018.05.27-Ponce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.27-Ponce.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.27-Ponce.pdf,2018.05.27,2018.05.27,6296.0,unknown,unknown
8,2018.05.26.b,26-May-2018,2018,Unprovoked,usa,Florida,"Cocoa Beach, Brevard  County",walking,Cody High,M,15.0,lower left leg bitten,False,Unknown,Unknown,"K.McMurray, TrackingSharks.com",2018.05.26.b-High.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.b-High.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.b-High.pdf,2018.05.26.b,2018.05.26.b,6295.0,unknown,unknown
9,2018.05.26.a,26-May-2018,2018,Unprovoked,usa,Florida,"Daytona Beach, Volusia County",standing,male,M,12.0,minor injury to foot,False,Unknown,Unknown,"K. McMurray, Tracking Sharks.com",2018.05.26.a-DaytonaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.a-DaytonaBeach.pdf,http://sharkattackfile.net/spreadsheets/pdf_directory/2018.05.26.a-DaytonaBeach.pdf,2018.05.26.a,2018.05.26.a,6294.0,unknown,unknown
